Number Insured,Number Uninsured,Income Category,County,Percentage Insured,Percentage Uninsured
40193,2507,Over 400% of Poverty,"Halifax County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Halifax County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Halifax County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Halifax County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Halifax County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Harnett County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Harnett County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Harnett County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Harnett County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Harnett County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Haywood County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Haywood County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Haywood County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Haywood County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Haywood County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Henderson County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Henderson County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Henderson County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Henderson County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Henderson County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Hertford County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Hertford County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Hertford County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Hertford County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Hertford County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Hoke County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Hoke County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Hoke County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Hoke County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Hoke County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Hyde County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Hyde County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Hyde County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Hyde County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Hyde County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Iredell County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Iredell County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Iredell County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Iredell County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Iredell County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Jackson County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Jackson County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Jackson County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Jackson County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Jackson County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Johnston County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Johnston County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Johnston County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Johnston County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Johnston County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Jones County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Jones County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Jones County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Jones County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Jones County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Lee County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Lee County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Lee County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Lee County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Lee County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Lenoir County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Lenoir County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Lenoir County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Lenoir County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Lenoir County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Lincoln County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Lincoln County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Lincoln County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Lincoln County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Lincoln County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"McDowell County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"McDowell County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"McDowell County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"McDowell County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"McDowell County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Macon County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Macon County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Macon County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Macon County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Macon County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Madison County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Madison County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Madison County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Madison County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Madison County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Martin County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Martin County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Martin County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Martin County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Martin County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Mecklenburg County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Mecklenburg County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Mecklenburg County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Mecklenburg County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Mecklenburg County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Mitchell County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Mitchell County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Mitchell County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Mitchell County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Mitchell County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Montgomery County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Montgomery County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Montgomery County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Montgomery County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Montgomery County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Moore County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Moore County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Moore County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Moore County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Moore County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Nash County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Nash County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Nash County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Nash County, NC",78.43221377788673,21.567786222113263
